title,price
Apple iPhone 12 (128GB) - Black,"₹59,900"
Apple iPhone 14 (128 GB) - Blue,"₹66,999"
Apple iPhone 14 (128 GB) - Midnight,"₹66,999"
Apple iPhone 14 (128 GB) - Starlight,"₹66,999"
Apple iPhone 14 (128 GB) - Purple,"₹67,499"
Apple iPhone 14 (128 GB) - Blue,"₹66,999"
Apple iPhone 14 (128 GB) - (Product) RED,"₹67,499"
Apple iPhone 14 Pro Max (128 GB) - Space Black,"₹1,27,999"
5s 16GB Original Smartphones Compatible Apple iPhone (Gold),"₹13,999"
Apple iPhone 14 (128 GB) - Yellow,"₹67,499"
Apple iPhone 14 (256 GB) - Purple,"₹77,999"
Apple iPhone 12 (128GB) - (Product) RED,"₹56,990"
Apple iPhone 12 (256GB) - Black,"₹66,999"
Apple iPhone 14 (256 GB) - Midnight,"₹77,999"
Apple iPhone 14 Pro Max (256 GB) - Gold,"₹1,37,999"
Apple iPhone 12 (64GB) - Blue,"₹53,999"
Apple iPhone 14 (256 GB) - Blue,"₹78,999"
Apple iPhone 14 (256 GB) - Yellow,"₹78,999"
